DEPTH_MD,RHOB,GR,NPHI,PEF,DTC,cluster,lithology
494.528,1.884185791,80.20085144,,,161.13117981,,
494.68,1.8897935152,79.262886047,,,160.60346985,,
494.832,1.8965227604,74.821998596,,,160.1736145,,
494.984,1.891912818,72.878921509,,,160.14942932,,
495.136,1.8800340891,71.729141235,,,160.12834167,,
495.288,1.8796874285,72.01441955600001,,,160.14929199,,
495.44,1.8787307739,72.588088989,,,161.25038147,,
495.592,1.8678369522,71.283050537,,,162.2144165,,
495.744,1.8472329378,69.721435547,,,161.57510376,,
495.896,1.836309433,66.677726746,,,160.58335876,,
496.048,1.8451297283,65.892799377,,,159.62438965,,
496.2,1.8601442575,66.928260803,,,158.85522461,,
496.352,1.8645105362,70.428024292,,,159.0859375,,
496.504,1.8604578972,72.568740845,,,159.11553955,,
496.656,1.858977437,71.932228088,,,159.13540649,,
496.8080000000001,1.8633086681,71.095474243,,,159.44454956,,
496.96,1.879073143,74.254371643,,,159.09140015,,
497.112,1.8897819519,77.266525269,,,159.35050964,,
497.264,1.8950212002,77.243659973,,,159.91371155,,
497.416,1.8818663359,74.072761536,,,160.68223572,,
497.568,1.8718523979,72.198684692,,,161.35916138,,
497.72,1.8767393827,73.68801116899999,,,161.16438293,,
497.872,1.8875800371,72.747123718,,,160.58572388,,
498.024,1.9042459726,70.038673401,,,160.08589172,,
498.176,1.9239485264,69.458602905,,,159.83093262,,
498.328,1.9202179909,70.175437927,,,160.04148865,,
498.48,1.890530467,69.169387817,,,160.02119446,,
498.632,1.8665241003,66.941886902,,,159.78358459,,
498.784,1.863617301,68.770942688,,,159.63774109,,
498.936,1.8740327358,71.864768982,,,159.51885986,,
499.088,1.8631432056,74.23991394,,,159.71707153,,
499.24,1.8512102365,73.419425964,,,159.78979492,,
499.392,1.8566273451,74.15774536100001,,,160.27708435,,
499.544,1.8640419245,74.61391449,,,160.46502686,,
499.696,1.8697222471,74.092033386,,,160.50489807,,
499.848,1.8720923662,73.944297791,,,160.49928284,,
500.0,1.8679596186,75.05583190899999,,,160.48558044,,
500.152,1.8572515249,76.508979797,,,160.36244202,,
500.304,1.845531106,73.464164734,,,159.83699036,,
500.456,1.8473213911,68.757133484,,,159.25857544,,
500.608,1.8530236483,66.214767456,,,159.04550171,,
500.76,1.883259058,67.519630432,,,159.09196472,,
500.912,1.9485155344,67.74028015100001,,,159.31990051,,
501.064,2.0333251953,66.249382019,,,159.49562073,,
501.216,2.1492137909,65.563743591,,,159.68937683,,
501.36800000000005,2.1131362915,66.860717773,,9.6992645264,159.92002869,,
501.52,1.9948540926,69.580696106,,4.78414011,159.99858093,,
501.672,1.8836650848,71.94261169399999,,3.8371455669,159.79779053,,
501.824,1.7584255934,73.34449005100001,,3.572811842,159.55261230000005,,
501.976,1.6963471174,71.916694641,,3.5936937332,159.47583008,,
502.128,1.655433774,70.890159607,,3.1117944717,159.49038696,,
502.28,1.6419883966,71.70512390100001,,2.1659314632,159.48999023,,
